eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
89,Fresenius  ,Germany,Health care equipment & services (453),207.00,12.5,"12,336",8.6,1.7,6.1,6.2,13.1,119,9.6,,
90,Rheinmetall,Germany,Automobiles & parts (335),199.00,11.2,"3,869",-3.4,5.1,4.4,4.2,6.0,20,4.4,,
91,Tesco,UK,Food & drug retailers (533),198.61,50.0,"56,196",14.9,0.4,8.0,7.9,5.7,469,5.5,,
92,Danone,France,Food producers (357),198.00,39.4,"15,220",3.5,1.3,4.5,4.8,15.8,80,5.4,,
93,L'Air Liquide,France,Chemicals (135),191.40,9.3,"13,103",11.0,1.5,14.2,11.2,14.8,43,6.7,,
94,Genmab,Denmark,Biotechnology (4573),191.16,70.1,100,40.7,190.9,9.3,4.4,-116.8,1,94.2,,
95,Electrolux,Sweden,Household goods & home construction (372),190.33,3.7,"9,534",0.1,2.0,3.0,3.3,0.7,55,-3.0,,
96,Heidelberger Druckmaschinen,Germany,Industrial machinery (2757),186.00,-16.1,"2,999",-18.3,6.2,5.4,4.8,-7.6,20,0.4,,
97,Legrand,France,Electrical components & equipment (2733),182.90,4.0,"4,202",1.8,4.4,2.8,3.3,15.3,35,7.6,,
98,Agfa-Gevaert,Belgium,Electronic equipment (2737),179.00,-10.5,"3,032",-7.6,5.9,1.6,2.2,-1.5,12,-7.9,,
99,BHP Billiton,UK,Mining (177),175.54,44.4,"42,787",50.6,0.4,15.4,19.3,40.3,42,23.2,,
100,Intesa Sanpaolo,Italy,Banks (835),173.00,3.6,"17,765",7.4,1.0,3.0,4.0,3.1,110,12.1,,
101,Knorr-Bremse  ,Germany,Industrial machinery (2757),171.34,8.0,"3,384",4.1,5.1,4.1,4.1,9.0,15,10.0,,
102,Umicore,Belgium,Chemicals (135),167.64,34.6,"9,169",-3.5,1.8,2.2,1.6,3.5,10,5.6,,
103,Indra Sistemas,Spain,Computer services (9533),166.34,7.3,"2,380",9.8,7.0,1.4,1.9,11.2,24,10.7,,
104,Wacker-Chemie,Germany,Chemicals (135),163.20,7.0,"4,298",13.7,3.8,18.9,15.2,14.7,16,5.8,,
105,Amdocs  ,UK,Software (9537),162.23,-2.1,"2,275",11.5,7.1,4.3,5.9,12.8,19,6.2,,
106,Rabobank,The Netherlands,Banks (835),162.00,1.9,"11,678",8.7,1.4,12.1,17.7,24.4,58,9.5,,
107,Freudenberg,Germany,General industrials (272),160.50,-5.8,"5,050",-5.5,3.2,6.3,5.8,6.1,34,-4.3,,
108,Danfoss,Denmark,Industrial machinery (2757),159.35,33.4,"3,645",19.3,4.4,7.7,5.6,1.6,27,26.1,,
109,Diehl Stiftung  ,Germany,General industrials (272),157.50,1.0,"2,217",4.3,7.1,3.0,3.0,4.4,11,6.3,,
110,Atlas Copco,Sweden,Industrial machinery (2757),156.30,13.3,"6,749",17.1,2.3,4.0,3.8,18.5,34,15.6,,
111,Pirelli,Italy,Automobiles & parts (335),156.00,-9.8,"4,894",-24.8,3.2,6.3,4.4,-8.3,32,2.3,,
112,Vattenfall,Sweden,Electricity (753),155.76,52.0,"14,970",14.6,1.0,20.2,15.1,18.2,33,1.3,,
113,DONG Energy,Denmark,Oil & gas producers (53),154.65,140.3,"8,166",46.0,1.9,16.2,26.8,12.2,5,7.8,,
114,Maxingvest,Germany,General retailers (537),151.00,18.9,"9,194",1.4,1.6,2.3,1.8,8.2,34,10.7,,
115,Trumpf  ,Germany,General industrials (272),150.60,11.2,"2,144",10.6,7.0,6.2,6.2,14.2,8,9.1,,
116,Arkema,France,Chemicals (135),150.00,-5.1,"5,633",-0.7,2.7,5.5,5.5,3.2,15,-2.7,,
117,Grundfos  ,Denmark,Industrial machinery (2757),149.12,50.7,"2,555",13.1,5.8,10.1,11.7,6.7,17,11.0,,
118,Kerry,Ireland,Food producers (357),147.46,1.5,"4,791",0.1,3.1,3.4,2.5,5.9,22,-0.4,,
119,Essilor International,France,Health care equipment & services (453),144.52,5.0,"3,074",5.7,4.7,5.1,6.9,17.6,31,5.6,,
120,Sage,UK,Software (9537),144.51,25.4,"1,340",11.9,10.8,1.9,1.9,20.6,15,11.1,,
121,Tognum,Germany,Automobiles & parts (335),144.00,22.1,"3,133",10.5,4.6,4.1,3.5,11.6,9,10.3,,
122,TomTom,The Netherlands,Electronic equipment (2737),143.35,112.7,"1,674",-3.6,8.6,1.8,1.0,-48.6,3,150.7,,
123,BAT,UK,Tobacco (378),142.75,16.0,"12,539",21.0,1.1,4.2,4.6,32.5,56,4.2,,
124,Hexagon,Sweden,Industrial machinery (2757),141.65,29.7,"1,317",-0.7,10.8,2.7,3.5,16.9,9,7.8,,
125,B Braun Melsungen,Germany,Health care equipment & services (453),139.63,20.1,"3,786",6.0,3.7,11.6,9.1,9.2,38,7.1,,
126,LyondellBasell Industries  ,Luxembourg,Chemicals (135),139.57,43.7,"36,688",197.9,0.4,2.0,2.4,-11.3,0,,,
127,Bouygues,France,Construction & materials (235),139.00,-1.4,"32,713",10.5,0.4,5.1,5.3,7.3,148,10.2,,
128,MTU Aero Engines,Germany,Aerospace & defence (271),138.20,55.6,"2,724",5.8,5.1,3.7,3.4,9.1,7,2.4,,
129,Ipsen,France,Pharmaceuticals (4577),137.19,-12.9,"1,038",4.5,13.2,5.9,5.9,18.6,4,5.9,,
130,Dragerwerk,Germany,Health care equipment & services (453),135.08,9.4,"1,925",5.8,7.0,3.6,4.1,5.8,11,5.2,,
131,Zodiac,France,Aerospace & defence (271),134.65,-7.3,"2,014",-18.7,6.7,2.9,2.2,11.6,18,2.4,,
132,Fujitsu Siemens Computers  ,The Netherlands,Computer services (9533),134.10,-7.6,"6,614",-4.9,2.0,0.6,0.9,1.1,11,-1.1,,
133,Metro,Germany,General retailers (537),134.00,3.1,"69,206",5.0,0.2,3.2,2.9,2.2,301,3.3,,
134,Novozymes,Denmark,Biotechnology (4573),133.69,11.7,"1,095",9.5,12.2,11.1,9.8,18.3,5,6.6,,
135,BioMerieux,France,Health care equipment & services (453),132.70,0.7,"1,111",4.5,11.9,7.6,7.3,16.5,6,2.0,,
136,SAAB,Sweden,Aerospace & defence (271),130.92,3.1,"2,165",3.4,6.0,1.6,1.8,0.2,13,-1.0,,
137,Metso,Finland,Industrial machinery (2757),129.00,16.2,"6,400",2.4,2.0,3.3,2.2,9.8,28,6.6,,
137,Deutsche Post,Germany,Industrial transportation (277),129.00,-5.1,"65,700",15.0,0.2,2.2,3.3,-2.3,511,-2.6,,
139,Nordea Bank,Sweden,Banks (835),127.00,44.3,"8,200",4.0,1.5,2.0,2.0,41.4,34,6.5,,
139,GDF Suez,France,"Gas, water & multiutilities (757)",127.00,27.5,"67,924",43.1,0.2,10.3,5.9,8.9,235,21.7,,
141,Benteler  ,Germany,General industrials (272),123.30,12.8,"6,327",0.1,1.9,3.1,3.0,3.2,24,5.9,,
142,Marks & Spencer,UK,General retailers (537),122.89,82.5,"9,374",0.4,1.3,5.9,10.8,9.5,78,3.3,,
143,Wartsila,Finland,Commercial vehicles & trucks (2753),121.00,-0.8,"4,612",22.6,2.6,3.0,3.5,11.1,18,14.9,,
144,Reed Elsevier,UK,Media (555),118.96,43.8,"5,530",0.2,2.2,1.1,1.4,16.7,33,-8.4,,
145,Invensys,UK,Software (9537),117.92,14.0,"2,363",-9.3,5.0,1.4,1.5,7.8,22,-14.9,,
146,ZF Lenksysteme,Germany,Automobiles & parts (335),117.70,3.1,"2,594",-1.2,4.5,6.3,4.6,1.6,11,7.9,,
147,Krones,Germany,Industrial machinery (2757),116.38,9.3,"2,381",10.5,4.9,3.1,3.6,6.6,10,7.3,,
148,Merial  ,UK,Biotechnology (4573),114.61,25.3,"1,774",12.4,6.5,5.9,4.8,26.8,5,4.9,,
149,Claas,Germany,Commercial vehicles & trucks (2753),113.78,3.8,"3,236",21.7,3.5,2.5,2.2,8.7,9,5.5,,
150,Burelle,France,Automobiles & parts (335),112.16,17.2,"2,745",-3.6,4.1,3.5,4.4,-0.5,13,-5.3,,
151,voestalpine,Austria,Industrial metals & mining (175),112.00,20.6,"11,731",10.5,1.0,8.2,7.5,8.7,44,3.8,,
152,Giesecke & Devrient,Germany,Support services (279),111.96,12.1,"1,689",8.9,6.6,5.7,4.0,10.3,10,10.2,,
153,CSR,UK,Semiconductors (9576),109.89,8.4,500,-18.1,22.0,2.8,2.9,-1.1,1,3.7,,
154,Vilmorin,France,Food producers (357),109.80,9.7,897,-4.4,12.2,2.9,3.0,12.9,4,-13.7,,
155,Smith & Nephew,UK,Health care equipment & services (453),109.35,7.0,"2,735",12.8,4.0,6.8,6.0,16.9,10,6.2,,
156,SKF,Sweden,Industrial machinery (2757),109.08,28.8,"5,765",8.2,1.9,4.0,3.3,12.1,43,3.7,,
157,Reckitt Benckiser,UK,Household goods & home construction (372),108.61,19.3,"6,789",24.6,1.6,2.5,2.5,22.9,24,3.8,,
158,Chiesi Farmaceutici  ,Italy,Pharmaceuticals (4577),107.80,16.7,749,14.1,14.4,3.1,2.6,11.8,3,6.9,,
159,KBC,Belgium,Banks (835),107.00,137.8,"4,827",-63.6,2.2,19.8,3.3,-62.3,59,5.8,,
160,Deutsche Borse,Germany,Other financials (877),104.60,-6.0,"2,692",9.7,3.9,2.0,1.8,55.7,3,9.4,,
