eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profitability_%,employees,employees_1_year_growth_%
419,Cez,Czech Republic,Electricity (753),28.26,30.1,"7,926",1.3,0.4,31.3,11.4,31.3,32.9,33,7.0
420,Rockwool International,Denmark,Construction & materials (235),28.18,-19.2,"1,574",5.1,1.8,11.3,9.1,11.3,7.1,8,0.6
421,KUKA,Germany,Industrial machinery (2757),28.05,-18.2,"1,079",19.6,2.6,1.0,1.7,1.0,1.4,6,-2.8
422,ICAP,UK,Other financials (877),28.01,-51.0,"2,032",6.9,1.4,2.6,1.1,2.6,15.2,5,8.8
423,WestLB,Germany,Banks (835),28.00,-37.8,"1,370",-33.2,2.0,1.2,0.7,1.2,-9.7,5,-8.9
424,Funkwerk,Germany,Mobile telecommunications (657),27.86,-11.9,211,-3.4,13.2,0.8,1.3,0.8,-7.9,1,-16.3
425,Haldex,Sweden,Automobiles & parts (335),27.72,-28.2,766,22.8,3.6,2.4,2.2,2.4,3.8,4,-3.0
425,NicOx,France,Pharmaceuticals (4577),27.72,-38.3,7,563.4,373.5,6.9,17.7,6.9,-613.0,0,-39.8
427,NATS,UK,Industrial transportation (277),27.43,38.2,881,-1.6,3.1,10.4,14.2,10.4,15.0,5,-3.2
428,Vossloh,Germany,Commercial vehicles & trucks (2753),27.40,48.9,"1,351",15.1,2.0,2.8,2.6,2.8,11.2,5,5.1
429,Micronic Mydata,Sweden,Semiconductors (9576),27.39,40.6,143,55.4,19.2,2.3,0.4,2.3,5.6,1,-9.0
430,Valio,Finland,Food producers (357),27.30,51.7,"1,822",2.0,1.5,3.9,8.0,3.9,3.2,4,-0.2
431,Lifecycle Pharma,Denmark,Biotechnology (4573),27.21,0.3,0,-39.5,"13,537.8",94.0,436.7,94.0,"-18,161.2",0,-36.6
432,Saft,France,Electrical components & equipment (2733),27.20,23.6,591,5.7,4.6,11.8,3.0,11.8,10.6,4,4.9
433,Intralot,Greece,Travel & leisure (575),27.12,-7.2,"1,116",23.5,2.4,5.3,13.7,5.3,7.4,5,11.5
434,Rautaruukki,Finland,Industrial metals & mining (175),27.00,-6.9,"2,415",23.8,1.1,7.3,10.5,7.3,-0.7,12,-7.7
435,Barilla,Italy,Food producers (357),26.91,8.9,"4,171",-8.0,0.6,3.1,3.3,3.1,1.7,15,-7.2
436,RBC Dexia Investor Services,UK,Other financials (877),26.46,-40.9,778,16.1,3.4,1.3,4.3,1.3,14.9,5,-1.7
437,Wacker Neuson,Germany,Industrial machinery (2757),26.42,5.9,758,27.0,3.5,10.0,6.1,10.0,4.9,3,-2.9
438,Jenoptik,Germany,Industrial machinery (2757),26.17,-4.8,511,7.8,5.1,2.6,2.2,2.6,3.7,3,-8.6
439,Datalogic,Italy,Electronic equipment (2737),25.97,3.7,393,25.9,6.6,1.8,2.2,1.8,8.9,2,1.9
440,Edwards Group,UK,Industrial machinery (2757),25.91,5.2,753,68.4,3.4,5.8,2.1,5.8,11.8,3,-4.8
441,Wendel,France,Other financials (877),25.90,-61.2,"5,491",10.6,0.5,3.1,2.6,3.1,17.4,62,19.9
442,Industrial and Financial Systems,Sweden,Software (9537),25.84,8.4,285,-0.7,9.1,1.1,0.6,1.1,8.6,3,-1.4
443,BE Semiconductor Industries,The Netherlands,Semiconductors (9576),25.81,11.0,351,137.4,7.3,1.5,1.3,1.5,14.2,1,10.9
444,Wittington Investments ,UK,Food producers (357),25.68,-4.3,"11,970",9.9,0.2,6.9,6.0,6.9,8.1,98,0.7
445,Fuchs Petrolub,Germany,Chemicals (135),25.10,13.1,"1,459",23.8,1.7,2.2,2.4,2.2,17.1,4,-1.5
446,Durr,Germany,Industrial machinery (2757),25.07,5.8,"1,261",17.1,2.0,0.8,1.1,0.8,2.7,6,-1.9
447,Melexis,Belgium,Semiconductors (9576),24.93,18.5,219,70.2,11.4,6.8,7.5,6.8,25.0,1,-3.3
448,Auriga Industries,Denmark,Chemicals (135),24.66,-24.5,752,3.1,3.3,1.9,1.9,1.9,3.7,2,4.1
448,Santaris Pharma,Denmark,Biotechnology (4573),24.66,26.4,29,196.7,85.3,0.4,1.6,0.4,2.6,0,-6.5
450,Kofax,UK,Software (9537),24.63,16.6,255,17.7,9.6,1.4,1.5,1.4,4.5,1,5.5
451,Croda International,UK,Chemicals (135),24.51,-0.5,"1,224",10.9,2.0,3.9,4.2,3.9,18.9,3,-6.8
451,Genus,UK,Biotechnology (4573),24.51,11.1,333,1.7,7.4,23.5,34.1,23.5,17.6,2,-1.1
451,Rexam,UK,General industrials (272),24.51,-8.7,"5,791",2.0,0.4,4.0,2.9,4.0,5.9,22,-5.2
454,Loewe,Germany,Electronic equipment (2737),24.48,7.2,307,-5.1,8.0,3.5,3.4,3.5,-1.9,1,1.9
455,Q-Cells,Germany,Alternative energy (58),24.30,-1.6,"1,358",69.3,1.8,13.1,34.9,13.1,-1.2,3,-5.6
456,Exact,The Netherlands,Software (9537),24.22,8.3,228,-1.9,10.6,2.4,1.9,2.4,18.0,2,-10.1
457,Glen Electric,UK,Household goods & home construction (372),24.18,-4.7,961,-6.5,2.5,1.5,2.1,1.5,8.8,5,-6.8
458,GfK,Germany,Support services (279),24.09,10.5,"1,294",11.1,1.9,1.8,2.8,1.8,10.9,10,0.7
459,Eppendorf,Germany,Health care equipment & services (453),23.95,0.3,484,11.7,4.9,,,,17.8,3,3.4
459,Soitec,France,Semiconductors (9576),23.95,39.3,281,34.4,8.5,8.2,3.2,8.2,-8.2,1,16.9
461,Active Biotech,Sweden,Biotechnology (4573),23.80,2.9,1,5.4,"1,890.5",13.7,37.5,13.7,"-2,016.5",0,-3.3
462,austriamicrosystems,Austria,Semiconductors (9576),23.47,17.5,209,52.7,11.2,5.9,7.4,5.9,9.3,1,2.9
463,ComArch,Poland,Computer services (9533),23.42,,192,4.4,12.2,5.3,5.4,5.3,3.2,3,4.5
464,Obrascon Huarte Lain,Spain,Construction & materials (235),23.27,8.8,"4,910",11.9,0.5,2.1,24.1,2.1,10.2,22,4.4
465,Hunter Douglas,The Netherlands,Household goods & home construction (372),23.11,10.7,"1,823",2.9,1.3,2.9,2.7,2.9,6.1,17,1.8
465,SkyePharma,UK,Pharmaceuticals (4577),23.11,92.2,68,3.9,34.1,7.6,9.3,7.6,25.1,0,-10.2
467,LKAB,Sweden,Mining (177),23.06,-12.2,"3,164",146.9,0.7,13.9,30.7,13.9,43.0,4,6.7
468,Auchan,France,General retailers (537),23.00,666.7,"42,492",7.1,0.1,2.5,2.9,2.5,3.0,262,7.9
469,Enrichment Technology,UK,Industrial machinery (2757),22.82,9.0,232,-13.4,9.8,32.4,32.8,32.4,-4.2,2,10.8
470,WET Automotive Systems,Germany,Automobiles & parts (335),22.73,27.5,227,43.6,10.0,1.5,1.6,1.5,17.0,5,26.3
471,Miba,Austria,Automobiles & parts (335),22.60,20.9,437,40.2,5.2,7.8,6.2,7.8,11.7,3,17.3
471,Outotec,Finland,Industrial machinery (2757),22.60,26.3,970,10.5,2.3,1.1,1.7,1.1,4.1,3,20.6
473,Muhlbauer,Germany,Semiconductors (9576),22.59,16.8,207,29.1,10.9,10.7,6.5,10.7,18.0,2,10.6
474,SBM Offshore,The Netherlands,"Oil equipment, services & distribution (57)",22.53,-22.0,"2,278",3.4,1.0,16.7,21.6,16.7,11.8,4,7.0
475,Force India Formula One,UK,Travel & leisure (575),22.52,7.7,37,-15.0,61.4,1.5,7.6,1.5,-125.6,0,-1.0
476,Kapsch TrafficCom,Austria,Support services (279),22.40,28.0,389,79.9,5.8,1.4,1.8,1.4,12.6,2,66.6
476,RHI,Austria,Industrial machinery (2757),22.40,11.4,"1,523",23.1,1.5,3.4,3.0,3.4,8.8,7,-0.2
478,Posten Norden,Sweden,Industrial transportation (277),22.18,-16.7,"4,620",-4.7,0.5,2.5,3.5,2.5,3.3,44,-6.9
479,CS Communication & Systemes,France,Computer services (9533),22.05,-13.7,193,-6.0,11.4,0.9,0.2,0.9,-6.0,2,0.6
480,Accor,France,Travel & leisure (575),22.00,-18.5,"6,978",-1.2,0.3,8.3,9.2,8.3,3.2,144,-4.4
481,KTM Power Sports,Austria,Automobiles & parts (335),21.96,-33.5,444,-2.4,5.0,1.5,2.7,1.5,3.8,2,-14.2
482,BIC,France,Household goods & home construction (372),21.94,-9.4,"1,832",17.2,1.2,3.1,3.0,3.1,16.3,11,0.5
483,Intec Telecom Systems,UK,Computer services (9533),21.86,13.9,165,-15.8,13.2,1.1,2.1,1.1,5.0,2,-2.7
484,Meda,Sweden,Pharmaceuticals (4577),21.84,-43.1,"1,283",-12.2,1.7,1.1,0.8,1.1,18.1,3,-1.3
485,Anglo American,UK,Mining (177),21.62,-14.7,"20,842",34.0,0.1,20.7,25.1,20.7,33.9,100,-6.5
486,Montupet,France,Automobiles & parts (335),21.60,90.8,375,43.9,5.8,8.2,5.9,8.2,3.5,3,-13.9
486,Teollisuuden Voima,Finland,Electricity (753),21.60,1.9,363,18.7,6.0,104.3,274.5,104.3,43.5,1,0.8
488,Konecranes,Finland,Industrial machinery (2757),21.10,-0.9,"1,546",-7.5,1.4,1.5,1.5,1.5,7.4,10,-0.7
489,Nolato,Sweden,Chemicals (135),21.07,13.8,374,29.7,5.6,4.1,5.2,4.1,7.4,8,75.6
489,SSAB,Sweden,Industrial metals & mining (175),21.07,-5.0,"4,422",33.7,0.5,5.0,6.4,5.0,2.5,8,1.7
491,888,UK,Travel & leisure (575),21.04,-2.9,195,6.2,10.8,3.5,3.4,3.5,4.4,1,-1.1
492,Metsaliitto,Finland,Forestry & paper (173),21.00,-12.5,"5,377",11.2,0.4,2.6,3.2,2.6,7.8,13,-13.5
492,Outokumpu,Finland,Industrial metals & mining (175),21.00,16.7,"4,229",60.1,0.5,3.4,9.3,3.4,-2.7,8,2.6
494,Amarin,UK,Biotechnology (4573),20.88,57.1,0,0.0,"2,088,200.0","1,700.0","9,400.0","1,700.0","-18,644,700.0",0,-38.5
495,James Hardie Industries,Ireland,Construction & materials (235),20.87,3.3,870,3.8,2.4,4.3,4.5,4.3,8.7,3,1.2
496,Vacon,Finland,Electrical components & equipment (2733),20.78,18.4,338,24.3,6.1,2.3,2.8,2.3,8.4,1,5.7
497,CMC Markets,UK,Other financials (877),20.66,30.1,175,-22.5,11.8,2.3,3.6,2.3,-9.1,1,-26.2
498,Copenhagen Airports,Denmark,Industrial transportation (277),20.60,90.9,435,10.8,4.7,19.9,17.9,19.9,46.3,2,1.7
499,Carraro,Italy,Automobiles & parts (335),20.59,47.2,718,47.2,2.9,1.9,4.2,1.9,2.0,4,11.1
500,Manz Automation,Germany,Industrial machinery (2757),20.56,69.4,181,111.1,11.3,4.6,2.9,4.6,-0.3,2,14.5
501,DiaSorin,Italy,Pharmaceuticals (4577),20.47,29.6,405,33.0,5.1,5.6,6.6,5.6,36.0,2,32.3
501,Sword,France,Computer services (9533),20.47,19.9,185,2.6,11.0,1.8,1.1,1.8,18.2,1,-3.9
503,Ahlstrom,Finland,Chemicals (135),20.30,-6.0,"1,894",18.7,1.1,2.6,4.0,2.6,3.5,6,-2.8
504,MGI Coutier,France,Automobiles & parts (335),20.10,2.0,410,14.6,4.9,2.1,2.4,2.1,6.9,4,-0.3
505,Same Deutz-Fahr,Italy,Commercial vehicles & trucks (2753),19.97,-2.9,855,-2.5,2.3,0.6,1.7,0.6,1.5,2,-9.7
506,Premier Foods,UK,Food producers (357),19.96,55.5,"2,996",-4.3,0.7,2.7,1.9,2.7,3.0,15,-9.5
507,B&C Industrieholding,Austria,Other financials (877),19.90,5.9,"1,910",-8.1,1.0,9.0,8.8,9.0,6.5,13,-4.6
508,Orc Software,Sweden,Software (9537),19.89,97.7,108,38.6,18.4,2.1,1.0,2.1,7.7,0,35.2
509,bwin Interactive Entertainment,Austria,Travel & leisure (575),19.88,116.8,356,7.2,5.6,3.5,3.9,3.5,13.5,1,11.3
510,Psion,UK,Computer hardware (9572),19.87,10.4,204,2.6,9.8,2.6,1.5,2.6,3.2,1,-2.3
511,International Power,UK,Electricity (753),19.84,88.9,"3,903",-8.8,0.5,7.2,6.9,7.2,19.6,4,-10.6
512,Pharming,The Netherlands,Biotechnology (4573),19.66,-13.4,1,71.0,"3,431.6",373.3,92.2,373.3,"-7,909.6",0,-11.6
513,Wilex,Germany,Biotechnology (4573),19.41,72.3,1,-92.0,"1,939.2",52.3,0.5,52.3,"-2,338.2",0,9.1
514,Seco Tools,Sweden,Industrial machinery (2757),19.18,-14.8,650,19.8,3.0,9.6,6.6,9.6,18.7,5,5.4
515,Vanderlande Industries,The Netherlands,Industrial machinery (2757),19.07,23.2,566,3.1,3.4,1.0,2.2,1.0,5.8,2,4.8
516,GECI International,France,Aerospace & defence (271),18.97,60.8,59,16.8,32.4,2.0,2.0,2.0,3.5,1,28.3
517,Actia,France,Electronic equipment (2737),18.96,19.7,247,10.3,7.7,1.7,2.2,1.7,-0.2,3,5.8
518,Napp Pharmaceutical,UK,Pharmaceuticals (4577),18.86,-0.9,296,10.0,6.4,3.3,3.5,3.3,15.2,1,-1.0
519,National Grid,UK,"Gas, water & multiutilities (757)",18.67,-15.8,"16,740",2.5,0.1,23.0,22.5,23.0,26.7,28,-1.4
520,Q-Med,Sweden,Health care equipment & services (453),18.61,-27.4,151,7.2,12.3,10.3,15.3,10.3,18.5,1,-8.5
521,De La Rue,UK,Support services (279),18.56,30.3,541,-17.3,3.4,5.0,7.4,5.0,17.5,4,1.3
521,Morgan Crucible,UK,Electrical components & equipment (2733),18.56,14.4,"1,187",7.9,1.6,2.0,1.5,2.0,9.1,10,-1.8
523,Asseco Poland,Poland,Software (9537),18.52,132.1,817,6.1,2.3,6.4,4.2,6.4,15.3,14,68.4
524,Schaltbau,Germany,Commercial vehicles & trucks (2753),18.48,11.1,280,3.9,6.6,2.1,2.5,2.1,8.5,1,-5.6
525,LISI,France,Industrial machinery (2757),18.40,11.5,777,11.7,2.4,6.0,6.2,6.0,4.2,7,7.7
526,Sensata Technologies,The Netherlands,Electronic equipment (2737),18.39,46.8,"1,148",35.6,1.6,3.4,1.3,3.4,14.6,11,10.5
527,BAUER,Germany,Construction & materials (235),18.31,0.5,"1,132",3.2,1.6,8.0,12.5,8.0,7.6,9,2.5
528,Domino Printing Sciences,UK,Electronic equipment (2737),18.20,33.7,350,17.1,5.2,1.8,1.9,1.8,17.6,2,2.0
529,Aliaxis,Belgium,Construction & materials (235),18.06,9.4,"2,123",10.5,0.9,3.0,3.0,3.0,6.2,15,-1.3
530,Allied Irish Banks,Ireland,Banks (835),18.00,-71.9,846,-82.6,2.1,3.0,1.3,3.0,"-1,371.6",24,-3.2
530,Edenred,France,Support services (279),18.00,,885,,2.0,1.6,,1.6,16.8,6,
532,Fives,France,Industrial machinery (2757),17.99,15.1,"1,049",-18.2,1.7,1.0,1.2,1.0,4.5,6,2.3
533,IBS,Sweden,Software (9537),17.95,-29.2,144,-28.4,12.4,2.5,0.5,2.5,-15.0,1,-18.3
534,Gothaer,Germany,Nonlife insurance (853),17.90,1.7,"4,124",1.2,0.4,0.2,0.2,0.2,2.6,5,-1.6
535,Vetoquinol,France,Pharmaceuticals (4577),17.82,7.8,282,11.8,6.3,2.2,2.0,2.2,10.2,2,6.2
536,Veritas,Germany,Automobiles & parts (335),17.79,13.3,505,34.0,3.5,2.5,2.5,2.5,7.3,3,3.6
537,K+S,Germany,Chemicals (135),17.70,-13.7,"4,994",39.7,0.4,4.8,4.9,4.8,14.7,15,16.3
538,ESI,France,Software (9537),17.62,24.5,84,12.1,20.9,1.3,1.2,1.3,7.1,1,0.5
539,Hikma Pharmaceuticals,UK,Pharmaceuticals (4577),17.60,40.2,545,14.8,3.2,6.7,5.8,6.7,18.5,5,10.6
540,Balfour Beatty,UK,Construction & materials (235),17.51,275.0,"10,779",3.1,0.2,0.9,0.8,0.9,2.0,51,19.5
541,YIT,Finland,Construction & materials (235),17.50,15.1,"3,788",9.7,0.5,0.6,0.6,0.6,5.8,24,-0.7
542,N Brown,UK,General retailers (537),17.39,52.0,839,4.2,2.1,0.9,0.3,0.9,14.3,3,2.1
543,Eurand,The Netherlands,Pharmaceuticals (4577),17.22,19.6,121,22.4,14.3,5.2,8.0,5.2,-3.8,1,10.1
544,SolarWorld,Germany,Alternative energy (58),17.05,68.1,"1,305",28.8,1.3,16.4,28.5,16.4,13.5,2,7.0
545,Weir,UK,Industrial machinery (2757),17.04,50.5,"1,908",17.6,0.9,2.8,2.7,2.8,17.8,10,9.3
546,TUI,Germany,Travel & leisure (575),16.80,117.3,"16,350",-14.3,0.1,2.4,1.5,2.4,2.1,66,-10.3
547,Symphogen,Denmark,Biotechnology (4573),16.79,-26.9,6,20.4,303.7,6.9,22.9,6.9,-289.2,0,3.8
548,Urenco,UK,Electricity (753),16.70,38.0,"1,267",13.0,1.3,60.6,77.5,60.6,46.6,3,8.3
549,Promethean World,UK,Computer hardware (9572),16.69,50.8,275,14.7,6.1,3.0,2.4,3.0,9.0,1,17.9
550,BRE Bank,Poland,Banks (835),16.67,-25.3,788,9.6,2.1,5.6,5.3,5.6,27.9,7,-6.0
551,Medivir,Sweden,Pharmaceuticals (4577),16.56,25.9,6,123.0,260.8,9.5,5.5,9.5,-238.7,0,-16.1
552,3w Power,Luxembourg,Alternative energy (58),16.53,276.9,306,177.0,5.4,7.2,0.8,7.2,-41.4,1,8.2
553,Fimalac,France,Other financials (877),16.50,8.6,609,8.9,2.7,3.7,11.8,3.7,19.8,3,-0.3
554,Arup,UK,Support services (279),16.37,11.3,"1,038",0.0,1.6,9.6,3.2,9.6,1.2,10,-4.8
555,G4S,UK,Support services (279),16.34,-1.4,"8,637",5.0,0.2,2.3,2.6,2.3,5.4,616,3.9
555,Sepura,UK,Telecommunications equipment (9578),16.34,3.6,82,-10.6,19.9,1.6,0.9,1.6,5.4,0,-0.7
557,ThromboGenics,Belgium,Biotechnology (4573),16.31,-38.5,6,46.6,264.1,4.7,12.7,4.7,-247.8,0,22.9
558,EVS Broadcast Equipment,Belgium,Electronic equipment (2737),16.21,31.3,111,45.2,14.6,2.1,4.0,2.1,49.8,0,31.5
559,VocaLink,UK,Support services (279),16.11,-53.8,193,4.5,8.3,4.2,6.9,4.2,2.1,1,5.8
560,Huhtamaki,Finland,General industrials (272),16.10,-1.2,"2,107",3.4,0.8,4.2,2.5,4.2,6.8,13,-6.6
560,Uponor,Finland,Construction & materials (235),16.10,3.9,749,2.1,2.1,2.4,3.0,2.4,6.6,3,-6.0
562,Bloor,UK,General industrials (272),16.07,6.7,737,1.6,2.2,2.4,,2.4,5.0,2,-3.9
563,Ballast Nedam,The Netherlands,Construction & materials (235),16.00,60.0,"1,359",-1.8,1.2,2.4,2.3,2.4,1.3,4,-2.7
563,Elektrobit,Finland,Electronic equipment (2737),16.00,8.8,162,5.2,9.9,2.7,1.5,2.7,-11.6,2,-1.8
563,Landesbank Berlin,Germany,Banks (835),16.00,100.0,"1,417",-7.4,1.1,1.6,1.7,1.6,22.4,7,-0.5
566,COR & FJA,Germany,Software (9537),15.98,42.6,116,69.9,13.8,2.2,1.5,2.2,2.3,1,56.6
567,SDL,UK,Software (9537),15.92,23.5,238,18.4,6.7,1.2,1.4,1.2,14.0,2,6.2
568,Renovo,UK,Biotechnology (4573),15.88,-24.7,19,220.3,83.8,0.2,6.9,0.2,-60.2,0,-31.0
569,Thrane & Thrane,Denmark,Telecommunications equipment (9578),15.86,-15.2,147,4.0,10.8,1.2,1.0,1.2,17.8,1,-2.5
570,4SC,Germany,Biotechnology (4573),15.82,21.9,1,-46.9,"1,599.7",42.9,19.9,42.9,"-2,082.6",0,3.3
571,Recticel,Belgium,Chemicals (135),15.81,11.4,"1,348",5.6,1.2,2.4,1.7,2.4,2.1,9,-6.4
572,OMV,Austria,Oil & gas producers (53),15.80,9.4,"23,323",30.2,0.1,8.9,11.2,8.9,10.4,33,-13.2
573,RM,UK,Software (9537),15.76,-7.7,444,9.6,3.6,2.1,2.3,2.1,4.4,3,5.6
574,Archimedes Pharma,UK,Pharmaceuticals (4577),15.69,-21.2,24,2.7,64.1,2.3,2.1,2.3,-99.5,0,22.1
574,Geox,Italy,Personal goods (376),15.69,3.7,850,-1.7,1.8,2.8,3.5,2.8,11.0,3,-16.4
576,Demag Cranes,Germany,Industrial machinery (2757),15.64,-16.0,931,-11.1,1.7,1.5,1.4,1.5,5.4,6,-5.6
577,Unibel,France,Food producers (357),15.61,-11.3,"2,418",8.9,0.6,2.3,2.6,2.3,8.3,11,-1.7
578,Chemring,UK,Aerospace & defence (271),15.52,44.6,697,18.5,2.2,6.8,6.6,6.8,18.1,4,18.0
578,QinetiQ,UK,Aerospace & defence (271),15.52,68.4,"1,987",4.7,0.8,1.2,1.4,1.2,3.2,12,-11.5
578,Sportingbet,UK,Travel & leisure (575),15.52,101.5,"2,301",23.9,0.7,0.5,0.4,0.5,0.4,1,12.8
581,Palfinger,Austria,Industrial machinery (2757),15.39,23.4,652,29.0,2.4,2.2,1.5,2.2,5.6,5,3.4
582,Telit Communications,UK,Telecommunications equipment (9578),15.32,58.2,98,53.9,15.6,1.3,1.5,1.3,4.4,0,1.1
583,Nutreco,The Netherlands,Food producers (357),15.30,8.5,"4,940",9.5,0.3,1.9,1.1,1.9,3.7,10,5.1
584,Camelot ,UK,Travel & leisure (575),15.29,167.3,"5,599",5.9,0.3,0.3,2.3,0.3,0.9,1,-20.3
584,Oxford Instruments,UK,Electronic equipment (2737),15.29,-19.6,247,2.4,6.2,1.7,1.7,1.7,4.8,1,-12.4
586,Atlantia,Italy,Industrial transportation (277),15.26,-28.1,"4,528",25.4,0.3,1.3,29.7,1.3,40.3,10,-3.3
587,Faiveley Transport,France,Commercial vehicles & trucks (2753),15.20,2.3,876,2.8,1.7,1.1,1.2,1.1,13.5,5,5.3
588,Omega Pharma,Belgium,Pharmaceuticals (4577),15.18,8.4,857,5.3,1.8,1.2,0.5,1.2,12.5,2,9.5
589,Diageo,UK,Beverages (353),15.17,-23.5,"11,414",5.0,0.1,4.0,3.3,4.0,26.5,24,-3.1
590,Telekomunikacja Polska,Poland,Fixed line telecommunications (653),15.14,-18.9,"3,965",-5.1,0.4,12.7,10.0,12.7,5.4,26,-8.6
591,Heating Finance,UK,Construction & materials (235),15.07,12.9,"1,077",-1.8,1.4,1.5,1.7,1.5,4.1,4,-7.3
592,HSH Nordbank,Germany,Banks (835),15.00,-11.8,"1,537",-48.2,1.0,0.1,0.1,0.1,1.1,4,-5.0
593,Amsterdam Molecular Therapeutics,The Netherlands,Biotechnology (4573),14.96,16.1,0,0.0,"1,495,600.0","38,700.0","10,600.0","38,700.0","-2,051,700.0",0,2.4
594,MBDA,UK,Aerospace & defence (271),14.94,40.7,842,32.7,1.8,2.4,3.0,2.4,4.4,3,5.9
595,Stork,The Netherlands,Industrial machinery (2757),14.89,-45.0,"1,669",2.7,0.9,1.8,2.5,1.8,5.2,13,-2.1
596,Basware,Finland,Software (9537),14.87,0.6,103,11.3,14.4,0.7,0.4,0.7,13.2,1,13.1
597,Groupe Gorge,France,Industrial machinery (2757),14.78,195.3,211,-0.6,7.0,2.3,0.8,2.3,4.5,1,-13.1
598,Arla Foods,Denmark,Food producers (357),14.76,746.0,"6,580",6.1,0.2,3.3,3.5,3.3,3.5,16,-0.1
598,Nykredit Realkredit,Denmark,Banks (835),14.76,20.9,"1,536",-27.0,1.0,3.6,2.6,3.6,26.1,4,-12.7
600,Tekla,Finland,Software (9537),14.75,4.1,58,15.5,25.5,1.5,1.3,1.5,16.5,0,1.1
601,PSI,Germany,Software (9537),14.74,28.7,159,8.0,9.3,4.1,1.6,4.1,5.2,1,2.7
602,Ablynx,Belgium,Biotechnology (4573),14.71,36.8,29,3.9,50.4,14.5,6.0,14.5,-96.4,0,12.4
603,Anite,UK,Computer services (9533),14.67,3.9,92,-33.8,16.0,3.0,3.2,3.0,-2.3,0,-42.5
604,Bioinvent International,Sweden,Biotechnology (4573),14.62,-33.0,9,2.7,159.1,5.6,1.6,5.6,-154.3,0,-8.6
605,Constantia Packaging,Austria,General industrials (272),14.60,-0.2,"1,704",-18.1,0.9,4.2,5.9,4.2,8.2,8,-5.0
606,Hoganas,Sweden,Industrial metals & mining (175),14.53,23.6,740,45.9,2.0,4.0,5.0,4.0,16.6,2,12.4
606,Radiall,France,Telecommunications equipment (9578),14.53,4.7,185,15.8,7.9,4.3,3.5,4.3,3.9,2,2.9
606,Swedbank,Sweden,Banks (835),14.53,42.4,"3,373",-10.3,0.4,1.8,2.4,1.8,32.7,20,-12.6
609,AGRANA,Austria,Food producers (357),14.48,8.5,"2,166",8.9,0.7,2.5,2.3,2.5,6.0,8,4.0
610,Lansforsakringar,Sweden,Banks (835),14.44,28.5,817,6.0,1.8,2.2,1.9,2.2,7.3,1,-6.4
611,Perstorp,Sweden,Chemicals (135),14.42,-18.7,"1,615",16.1,0.9,5.3,4.2,5.3,2.2,2,-9.8
612,CAF,Spain,Commercial vehicles & trucks (2753),14.36,16.1,"1,576",25.3,0.9,3.0,6.9,3.0,9.4,7,20.4
612,Premier Farnell,UK,Support services (279),14.36,39.8,"1,156",24.6,1.2,1.0,0.7,1.0,11.3,4,5.8
614,Orexo,Sweden,Pharmaceuticals (4577),14.31,-23.7,23,-10.8,61.3,,1.1,,-38.8,0,-15.3
615,OHB Technology,Germany,Aerospace & defence (271),14.30,10.0,425,48.2,3.4,1.2,3.0,1.2,3.3,2,17.0
616,e2v Technologies,UK,Electronic equipment (2737),14.20,6.3,267,13.6,5.3,3.8,1.3,3.8,12.9,1,-11.1
617,Almac,UK,Pharmaceuticals (4577),14.19,19.9,293,12.1,4.8,15.3,17.8,15.3,5.0,3,16.2
618,BG,UK,Oil & gas producers (53),14.16,21.4,"12,976",8.9,0.1,37.2,31.9,37.2,33.8,6,1.5
619,Leica Camera,Germany,Leisure goods (374),14.11,-9.3,158,18.0,8.9,4.6,9.7,4.6,4.4,1,2.4
620,Singulus Technologies,Germany,Industrial machinery (2757),14.10,-19.9,118,2.8,11.9,1.8,4.9,1.8,-67.3,0,-24.5
621,DSV,Denmark,Industrial transportation (277),14.09,-6.2,"5,712",17.9,0.2,0.8,1.4,0.8,5.2,21,-5.5
622,Unibet,Malta,Travel & leisure (575),14.08,47.7,172,6.6,8.2,0.9,0.6,0.9,23.3,0,17.0
623,Karo Bio,Sweden,Biotechnology (4573),14.06,2.9,0,-99.8,"1,406,000.0","13,100.0",4.3,"13,100.0","-1,794,500.0",0,1.5
624,Trevi Finanziaria Industriale,Italy,Construction & materials (235),14.02,31.4,912,-9.3,1.5,4.7,7.5,4.7,9.3,6,-2.7
625,TI Fluid Systems,UK,Automobiles & parts (335),14.01,-30.2,"1,878",30.4,0.7,2.4,2.4,2.4,3.9,16,10.5
626,KPMG Europe,Germany,Support services (279),14.00,-54.8,"4,065",16.3,0.3,3.2,9.4,3.2,12.6,26,23.5
627,Glanbia,Ireland,Food producers (357),13.96,35.2,"2,167",18.4,0.6,1.4,2.4,1.4,6.7,3,-3.1
628,Manitou BF,France,Commercial vehicles & trucks (2753),13.92,-20.1,838,22.5,1.7,1.8,2.2,1.8,0.3,3,5.1
629,Chicago Bridge & Iron Company,The Netherlands,Industrial machinery (2757),13.89,16.1,"2,715",-20.1,0.5,0.7,1.0,0.7,8.3,13,-20.0
629,Option,Belgium,Telecommunications equipment (9578),13.89,-47.6,58,-60.8,24.1,0.1,0.6,0.1,-56.7,0,-57.0
629,SAES Getters,Italy,Electronic equipment (2737),13.89,0.6,142,8.8,9.8,4.1,5.6,4.1,7.7,1,-5.2
