eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
990,ELEMENTIS,UK,Chemicals,5.5,-7.7,1.0,573.7,-0.5,29.0,70.2,5.1,108.2,-13.8,18.9,1323,-0.5
991,RECIPHARM AB,Sweden,Support Services,5.4,5.9,2.2,241.6,-3.2,,  ,0.0,22.0,86.7,9.1,1507,-10.9
992,TELEVISION FRANCAISE 1,France,Media,5.4,-27.0,0.2,2620.6,0.0,51.4,-49.1,2.0,375.1,-11.7,14.3,3990,-3.2
993,MONIER TECHNICAL CENTRE,UK,Industrial Engineering,5.4,11.8,64.5,8.3,2.1,,  ,0.0,-0.8,-184.9,-9.4,53,1.9
994,TERMA,Denmark,Electronic & Electrical Equipment,5.3,5.8,3.5,152.6,-14.8,,  ,0.0,9.8,-30.9,6.4,1080,-9.6
995,ITM POWER,UK,Electricity,5.3,-6.2,5118.4,0.1,-81.9,1.0,75.4,959.8,-7.6,-2.5,-7300.0,65,-1.5
996,POWERCELL,Sweden,Industrial Engineering,5.3,-9.5,5435.3,0.1,1614.2,,  ,0.0,-4.9,1.7,-5001.3,18,-25.0
997,MICROWAVE,France,Electronic & Electrical Equipment,5.3,20.0,11.4,46.4,5.3,3.1,76.3,6.7,3.8,19.5,8.1,307,15.0
998,FIBERWEB,UK,Support Services,5.3,-47.6,1.5,358.9,0.8,16.6,-38.5,4.6,9.2,-9.4,2.6,1290,-32.5
999,CONSILIUM,Sweden,Electronic & Electrical Equipment,5.3,5.1,4.7,110.7,-2.9,0.6,53.1,0.5,4.7,-25.9,4.3,414,2.2
1000,SMARTRAC,The Netherlands,Electronic & Electrical Equipment,5.2,74.8,2.0,255.5,52.5,,  ,0.0,13.5,-141.7,5.3,3635,-1.1
