eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
954,Planit  ,UK,Software (9537),3.67,26.6,48,14.3,7.6,2.1,2.4,8.3,0,23.1
956,BioProgress  ,UK,Pharmaceuticals (4577),3.65,29.4,14,100.0,26.1,2.9,5.7,-28.6,0,11.1
957,Jeeves Information Systems,Sweden,Computer services (9533),3.62,18.3,13,30.0,27.8,3.1,4.0,7.7,0,25.9
957,Workplace Systems International  ,UK,Software (9537),3.62,1.4,13,8.3,27.8,3.1,3.3,-30.8,0,8.7
959,KBC Advanced Technologies,UK,"Oil equipment, services & distribution (57)",3.61,-6.5,53,26.2,6.8,0.8,1.0,5.7,0,7.2
960,Evialis,France,Food producers (357),3.60,18.4,637,-1.5,0.6,1.9,2.0,0.8,3,-3.1
960,Seagull,The Netherlands,Software (9537),3.60,5.6,21,16.7,17.1,1.9,2.2,-4.8,0,1.9
962,Chicago Bridge & Iron Company  ,The Netherlands,Industrial machinery (2757),3.59,9.5,"2,370",38.4,0.2,2.6,1.6,4.6,12,21.1
962,Rightmove,UK,Media (555),3.59,51.5,50,85.2,7.2,2.0,3.7,20.0,0,80.0
964,SPI Lasers  ,UK,Electronic equipment (2737),3.57,-18.9,10,100.0,35.7,10.0,20.0,-170.0,0,43.2
965,United Utilities,UK,"Gas, water & multiutilities (757)",3.56,26.2,"3,898",2.5,0.1,26.1,21.1,32.0,17,-0.9
965,Christian Salvesen,UK,Industrial transportation (277),3.56,19.9,"1,334",9.5,0.3,1.3,2.0,2.6,14,6.4
965,!! HLG  ,UK,Nonlife insurance (853),3.56,,144,-22.6,2.5,4.2,0.0,-18.1,2,
968,CENIT AG Systemhaus,Germany,Computer services (9533),3.55,15.3,82,10.8,4.3,1.2,1.4,12.2,1,10.6
968,Axfood,Sweden,Food & drug retailers (533),3.55,33.5,"3,193",-12.7,0.1,1.8,1.8,4.1,7,-0.8
